Nome da Origem;Created By;Host ID;Host Name;Host MAC;Host Desc;Image Name;Image Path;Start Date;Start Time;End Date;End Time;Duration;Deploy/Capture;Tempo
15.CSV;fog;18;a45d362aadca;a4:5d:36:2a:ad:ca;Created by FOG Reg on January 12, 2024, 11:46 am;DebRodrigo;Not Valid;17/01/2024;08:13:34;17/01/2024;08:16:27;2 minutes 53 seconds;Deploy;00:02:03
16.CSV;fog;2;a45d362abd33;a4:5d:36:2a:bd:33;Created by FOG Reg on January 11, 2024, 11:18 am;DebRodrigo;Not Valid;17/01/2024;08:18:01;17/01/2024;08:20:58;2 minutes 57 seconds;Deploy;00:02:07
16.CSV;fog;3;a45d362a91f6;a4:5d:36:2a:91:f6;Created by FOG Reg on January 11, 2024, 11:18 am;DebRodrigo;Not Valid;17/01/2024;08:18:04;17/01/2024;08:20:58;2 minutes 54 seconds;Deploy;00:02:07
16.CSV;fog;4;a45d362aad8f;a4:5d:36:2a:ad:8f;Created by FOG Reg on January 11, 2024, 11:18 am;DebRodrigo;Not Valid;17/01/2024;08:18:03;17/01/2024;08:20:56;2 minutes 53 seconds;Deploy;00:02:05
16.CSV;fog;5;a45d362a9db8;a4:5d:36:2a:9d:b8;Created by FOG Reg on January 11, 2024, 11:19 am;DebRodrigo;Not Valid;17/01/2024;08:18:01;17/01/2024;08:20:57;2 minutes 56 seconds;Deploy;00:02:06
16.CSV;fog;7;a45d362abd2b;a4:5d:36:2a:bd:2b;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;17/01/2024;08:18:51;17/01/2024;08:20:58;2 minutes 7 seconds;Deploy;00:02:07
16.CSV;fog;8;a45d362aed83;a4:5d:36:2a:ed:83;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;17/01/2024;08:18:00;17/01/2024;08:20:56;2 minutes 56 seconds;Deploy;00:02:05
16.CSV;fog;9;fc15b4d90f77;fc:15:b4:d9:0f:77;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;17/01/2024;08:18:02;17/01/2024;08:20:57;2 minutes 55 seconds;Deploy;00:02:06
16.CSV;fog;10;a45d362abd9d;a4:5d:36:2a:bd:9d;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;17/01/2024;08:18:04;17/01/2024;08:20:57;2 minutes 53 seconds;Deploy;00:02:06
16.CSV;fog;11;a45d362a9143;a4:5d:36:2a:91:43;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;17/01/2024;08:18:04;17/01/2024;08:20:56;2 minutes 52 seconds;Deploy;00:02:05
16.CSV;fog;12;a45d362ada99;a4:5d:36:2a:da:99;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;17/01/2024;08:18:01;17/01/2024;08:20:59;2 minutes 58 seconds;Deploy;00:02:08
